,side,result,golddiffat10,xpdiffat10,golddiffat15,xpdiffat15
0,Blue,1,117.0,-137.0,-825.0,-1665.0
2,Blue,0,-2014.0,-2149.0,-5484.0,-4833.0
4,Blue,1,682.0,615.0,2566.0,2097.0
6,Blue,0,-1579.0,-858.0,-2471.0,-3064.0
8,Blue,0,-747.0,-313.0,877.0,205.0
10,Blue,1,-95.0,-686.0,2387.0,203.0
12,Blue,1,577.0,183.0,-888.0,-1983.0
14,Blue,0,-2927.0,-2511.0,-9541.0,-8434.0
16,Blue,1,-300.0,-493.0,750.0,-122.0
18,Blue,0,760.0,348.0,-83.0,-980.0
20,Blue,1,-833.0,-304.0,-959.0,-975.0
22,Blue,0,-601.0,-606.0,-1507.0,-1858.0
24,Blue,1,752.0,767.0,2011.0,2200.0
26,Blue,1,-486.0,-610.0,-585.0,-1119.0
28,Blue,1,462.0,1678.0,5299.0,4448.0
30,Blue,0,1802.0,1388.0,1436.0,904.0
32,Blue,1,146.0,1072.0,-754.0,-411.0
34,Blue,0,-1954.0,44.0,-2391.0,-149.0
36,Blue,0,-386.0,-1517.0,300.0,-730.0
38,Blue,0,1357.0,613.0,-213.0,-2415.0
40,Blue,0,-2816.0,-2695.0,-5060.0,-4023.0
42,Blue,0,589.0,151.0,937.0,1089.0
44,Blue,0,-2747.0,-2699.0,-1293.0,1059.0
46,Blue,1,296.0,529.0,3779.0,2919.0
48,Blue,0,-224.0,-879.0,-1739.0,532.0
50,Blue,0,-1313.0,-490.0,-3151.0,-3353.0
52,Blue,0,-2211.0,-1117.0,-1387.0,-1292.0
54,Blue,1,1347.0,268.0,-825.0,-2004.0
56,Blue,0,204.0,141.0,13.0,-735.0
58,Blue,0,852.0,1694.0,2253.0,1587.0
60,Blue,1,718.0,2009.0,658.0,229.0
62,Blue,1,2884.0,1515.0,4099.0,1606.0
64,Blue,0,-727.0,-419.0,-245.0,-1334.0
66,Blue,1,202.0,418.0,1945.0,10.0
68,Blue,1,753.0,-70.0,4234.0,1739.0
70,Blue,0,-1428.0,-504.0,-2314.0,-2345.0
72,Blue,0,-27.0,-390.0,39.0,-1550.0
74,Blue,0,-1524.0,-824.0,-1415.0,878.0
76,Blue,1,-316.0,172.0,1782.0,-651.0
78,Blue,0,-1098.0,-377.0,-1470.0,-579.0
80,Blue,1,1644.0,1706.0,3011.0,1876.0
82,Blue,1,410.0,-374.0,400.0,-612.0
84,Blue,1,312.0,587.0,-637.0,-874.0
86,Blue,1,90.0,-157.0,1601.0,1329.0
88,Blue,0,-353.0,-81.0,-409.0,421.0
90,Blue,1,454.0,751.0,618.0,591.0
92,Blue,1,74.0,-247.0,-2556.0,-2524.0
94,Blue,0,-2011.0,-2550.0,-4765.0,-3903.0
96,Blue,1,71.0,-1183.0,-340.0,-2073.0
98,Blue,0,-203.0,-1660.0,2556.0,287.0
100,Blue,1,477.0,-192.0,2073.0,1433.0
102,Blue,1,1017.0,23.0,1498.0,-1045.0
104,Blue,1,2709.0,1713.0,3893.0,2097.0
106,Blue,1,-1529.0,-1461.0,-2545.0,-582.0
108,Blue,1,241.0,370.0,1525.0,1304.0
110,Blue,1,796.0,406.0,2312.0,192.0
112,Blue,1,-1028.0,-1088.0,-953.0,-2275.0
114,Blue,0,-503.0,-173.0,-1526.0,-985.0
116,Blue,0,-960.0,-699.0,-976.0,-1426.0
118,Blue,1,-979.0,-812.0,-1149.0,-879.0
120,Blue,0,-1298.0,-1966.0,-400.0,-872.0
122,Blue,1,761.0,-544.0,3477.0,2241.0
124,Blue,1,-655.0,-857.0,-308.0,410.0
126,Blue,0,926.0,259.0,301.0,138.0
128,Blue,0,322.0,-88.0,1827.0,1356.0
130,Blue,0,-146.0,-400.0,253.0,72.0
132,Blue,1,448.0,820.0,807.0,1003.0
134,Blue,1,-326.0,413.0,411.0,1882.0
136,Blue,0,2864.0,1215.0,2391.0,-518.0
138,Blue,1,2857.0,3039.0,5882.0,3859.0
140,Blue,1,1429.0,656.0,2304.0,422.0
